"","week_diff","n"
"1038",537,2
"1039",538,2
"1040",540,2
"1041",545,1
"1042",546,2
"1043",547,1
"1044",548,2
"1045",549,1
"1046",551,2
"1047",552,1
"1048",554,2
"1049",555,5
"1050",556,10
"1051",557,13
"1052",558,2
"1053",561,1
"1054",563,1
"1055",564,1
"1056",566,3
"1057",567,1
"1058",568,1
"1059",569,1
"1060",571,2
"1061",573,1
"1062",575,3
"1063",576,2
"1064",578,1
"1065",580,1
"1066",583,2
"1067",585,1
"1068",587,2
"1069",588,1
"1070",589,5
"1071",591,1
"1072",599,4
"1073",600,1
"1074",602,1
"1075",605,1
"1076",607,1
"1077",608,1
"1078",609,1
"1079",612,1
"1080",613,1
"1081",615,1
"1082",616,1
"1083",618,3
"1084",619,1
"1085",622,2
"1086",625,1
"1087",626,2
"1088",627,1
"1089",628,1
"1090",629,2
"1091",631,1
"1092",632,1
"1093",635,1
"1094",639,1
"1095",644,2
"1096",646,1
"1097",649,1
"1098",654,1
"1099",657,2
"1100",661,1
"1101",663,1
"1102",665,3
"1103",667,1
"1104",669,1
"1105",670,2
"1106",671,1
"1107",675,2
"1108",677,2
"1109",680,1
"1110",681,2
"1111",684,2
"1112",685,1
"1113",689,1
"1114",690,1
"1115",692,1
"1116",698,2
"1117",704,2
"1118",706,1
"1119",711,1
"1120",714,1
"1121",717,2
"1122",718,1
"1123",728,2
"1124",729,1
"1125",732,1
"1126",736,1
"1127",739,2
"1128",741,2
"1129",750,1
"1130",753,1
"1131",754,1
"1132",756,1
"1133",759,2
"1134",763,1
"1135",764,1
"1136",771,1
"1137",773,1
"1138",779,1
"1139",781,1
"1140",785,1
"1141",788,1
"1142",790,1
"1143",795,1
"1144",804,1
"1145",805,1
"1146",807,1
"1147",813,1
"1148",815,1
"1149",816,1
"1150",817,1
"1151",824,1
"1152",832,1
"1153",833,1
"1154",839,2
"1155",840,1
"1156",844,1
"1157",848,1
"1158",849,1
"1159",852,2
"1160",855,1
"1161",856,1
"1162",857,1
"1163",867,1
"1164",879,1
"1165",880,1
"1166",885,1
"1167",891,1
"1168",893,1
"1169",895,1
"1170",899,1
"1171",906,1
"1172",912,1
"1173",914,1
"1174",918,1
"1175",920,1
"1176",940,1
"1177",946,1
"1178",949,1
"1179",953,1
"1180",960,1
"1181",1011,1
"1182",1020,1
